id,name
1,Commerce
2,Physics
3,Chemistry
4,Biology
5,Computer
6,Mathematics
7,Fiction
8,Adventure/Sports
9,Biography
10,Finance
11,Business
12,Motivational
13,Poetry/Story
14,Arts/Crafts
15,Diploma Courses
16,Other Books
